636A Beihai             China               1975 21290N 109050E 0000 3 00000R MM
636A Beih  197503172 3810 3820 3600 3260 2830 2350 1890 1520 1330 1370 1590 1880
636A Beih  197503181 2210 2450 2560 2550 2500 2430 2400 2450 2610 2870 3250 3610
636A Beih  197503182 3930 4090 4010 3760 3370 2900 2370 1940 1590 1370 1330 1460
636A Beih  197503191 1640 1860 2040 2200 2230 2220 2210 2290 2460 2700 3030 3400
636A Beih  197503192 3780 4050 4130 3980 3700 3300 2780 2210 1810 1460 1190 1050
636A Beih  197503201 1060 1200 1370 1550 1690 1840 1920 2020 2220 2480 2840 3280
636A Beih  197503202 3690 4020 4210 4210 4030 3690 3250 2770 2330 1940 1670 1360
636A Beih  197503211 1290 1210 1210 1340 1510 1670 1830 1950 2110 2340 2600 2950
636A Beih  197503212 3350 3740 4060 4270 4310 4180 3880 3480 3020 2570 2140 1820
636A Beih  197503221 1530 1310 1210 1230 1380 1570 1750 1950 2140 2270 2490 2820
636A Beih  197503222 3170 3550 3920 4210 4400 4380 4210 3910 3490 3000 2500 2090
636A Beih  197503231 1680 1300 1030  890  900 1010 1220 1490 1660 1810 1990 2240
636A Beih  197503232 2520 2870 3250 3650 4000 4220 4270 4180 3940 3540 3050 2580
636A Beih  197503241 2170 1770 1450 1210 1100 1120 1290 1520 1720 1880 1990 2110
636A Beih  197503242 2310 2540 2820 3180 3570 3940 4220 4340 4280 4080 3680 3180
636A Beih  197503251 2700 2240 1880 1560 1400 1400 1540 1750 1970 2120 2180 2190
636A Beih  197503252 2220 2300 2450 2700 3030 3410 3820 4160 4320 4280 4040 3650
636A Beih  197503261 3190 2680 2250 1890 1630 1510 1580 1740 1990 2160 2210 2140
636A Beih  197503262 2030 1900 1840 1920 2120 2460 2910 3330 3750 4020 4090 3970
636A Beih  197503271 3720 3230 2760 2350 2020 1840 1910 2160 2400 2590 2680 2640
636A Beih  197503272 2450 2170 1870 1620 1510 1630 1990 2450 2970 3390 3700 3810
636A Beih  197503281 3750 3510 3150 2760 2390 2150 2170 2450 2840 3190 3390 3350
636A Beih  197503282 3120 2760 2360 1950 1530 1250 1200 1470 1920 2460 2940 3250
636A Beih  197503291 3370 3260 3070 2830 2570 2340 2320 2510 2880 3290 3690 3850
636A Beih  197503292 3670 3250 2780 2270 1760 1270  880  730  910 1340 1790 2150
636A Beih  197503301 2450 2630 2840 2630 2390 2230 2290 2600 2900 3340 3820 4120
636A Beih  197503302 4160 3980 3670 3150 2550 1980 1460 1060  850  840 1080 1480
636A Beih  197503311 1800 2040 2140 2140 2130 2170 2240 2430 2750 3180 3650 4040
636A Beih  197503312 4300 4320 4130 3750 3190 2610 2060 1580 1190  980  980 1110
636A Beih  197504011 1370 1640 1850 2030 2090 2100 2180 2340 2630 3010 3410 3870
636A Beih  197504012 4230 4370 4320 4090 3640 3100 2540 2040 1590 1210  940  860
636A Beih  197504021  980 1170 1380 1590 1770 1900 2010 2180 2440 2750 3160 3620
